Test Name, September17, October17, November17, December17, Janurary18, Feburary18, Average%, Average Symbols
RSI50/MOM0/BOP0.05/BBANDS0.07/ADX45/,1,1,0,0.6,0.5714,0,0.5286,1.67
RSI50/MOM0/BOP0.05/BBANDS0.07/ADX50/,1,1,0,0.6,0.5714,0,0.5286,1.67
RSI50/MOM0/BOP0.05/BBANDS0.06/,0,1,0,0.6,0.8,0,0.4,1.33
RSI50/MOM0/BOP0.05/BBANDS0.05/,0,1,0,0.6,0.75,0,0.3917,1.17
RSI50/MOM0/BOP0.05/BBANDS0.04/,0,1,0,0.75,1,0,0.4583,1
RSI50/MOM0/BOP0.03/,0.5714,0.6667,1,0.7,0.4667,0,0.5675,3.83
RSI50/MOM0/BOP0.01/,0.5714,0.6667,1,0.7,0.4667,0,0.5675,3.83
MOM0/BOP0.05/BBANDS0.07/ADX20/,0.6,0.5,0,0.4,0.5,0,0.3333,1.67
MOM0/BOP0.05/BBANDS0.07/ADX25/,0.5,0.6,0,0.5714,0.4615,0,0.3555,2.83
MOM0/BOP0.05/BBANDS0.07/ADX30/,0.6429,0.6667,0,0.625,0.4,0,0.3891,4.67
MOM0/BOP0.05/BBANDS0.07/ADX35/,0.6875,0.7143,0,0.5556,0.4348,0,0.3987,6
MOM0/BOP0.05/BBANDS0.07/ADX40/,0.6842,0.7222,1,0.5,0.4231,0,0.5549,7.33
MOM0/BOP0.05/BBANDS0.07/ADX45/,0.6842,0.7,1,0.5385,0.4643,0,0.5645,8
MOM0/BOP0.05/BBANDS0.07/ADX50/,0.7,0.7143,1,0.5625,0.4643,0,0.5735,8.67
MOM0/BOP0.05/BBANDS0.06/,0.7059,0.6667,1,0.5333,0.6364,0,0.5904,7.17
MOM0/BOP0.05/BBANDS0.05/,0.6667,0.6,1,0.5,0.6667,0,0.5722,5.33
MOM0/BOP0.05/BBANDS0.04/,0.5714,0.6667,1,0.6,0.625,0,0.5772,3.33
RSI50/BOP0.05/BBANDS0.07/ADX20/,1,1,0,0.5,1,0,0.5833,1.33
RSI50/BOP0.05/BBANDS0.07/ADX25/,1,1,0,0.6,0.3333,0,0.4889,1.67
RSI50/BOP0.05/BBANDS0.07/ADX30/,0.75,1,0,0.6667,0.4167,0,0.4722,2.17
RSI50/BOP0.05/BBANDS0.07/ADX35/,0.75,1,0,0.6667,0.4286,0,0.4742,2.5
RSI50/BOP0.05/BBANDS0.07/ADX40/,0.75,0.6667,0,0.5714,0.5294,0,0.4196,3
RSI50/BOP0.05/BBANDS0.07/ADX45/,0.75,0.6667,0,0.5,0.5294,0,0.4077,3
RSI50/BOP0.05/BBANDS0.07/ADX50/,0.75,0.6667,0,0.5,0.5294,0,0.4077,3
