Symbol,ADX,Bbands,BOP,MACD,MOM,RSI,Gain
FIVN,27.8499,0.158903766,0.7692,0.3368,0.031380753,69.6403,1.031073446
FTAI,36.1075,0.078547672,0.6853,0.2173,0.021396896,69.4956,1.017331499
GPRO,34.7503,0.311262489,0.5865,0.5501,0.016348774,66.0329,0.951111111
GHM,17.1881,0.066481037,0.4724,0.1867,0.026212194,56.7928,0.90875576
HDP,55.7632,0.047374631,0.0588,0.3576,0.012743363,70.2593,0.989424207
HBM,26.3731,0.319731544,-0.5625,-0.1995,-0.053691275,53.7068,0.986970684
IDSY,23.82,0.263941411,0.7159,0.1046,0.092676431,68.2348,0.961290323
IBP,38.8967,0.177033951,0.6542,1.79,0.073148148,77.2824,1.05116629
INTT,37.63,0.149036145,0.6757,0.2369,0.082891566,63.7132,1.011695906
JOUT,56.5667,0.201460153,0.8753,2.0957,0.060425764,89.2348,0.996587031
KNSL,42.9587,0.228325226,0.3953,1.5004,0.07352328,73.2041,0.993171506
FSTR,24.771,0.24843956,0.7212,0.7457,0.098021978,75.9821,1.081023454
MRC,19.7801,0.11457976,0.8925,0.3034,0.008805031,56.5187,0.972332016
MNTX,43.1245,0.03142539,-0.325,0.1797,0.000668151,69.3555,1.016703786
NVEE,51.7027,0.170345837,0.6564,2.4919,0.099542543,78.9883,1.047069272
NEWR,28.3704,0.053104418,0.3452,0.2781,-0.020401606,69.7992,1.018174635
PMT,31.5126,0.067958597,0.0588,0.0168,0.040023002,50.6255,0.91600454
PLPC,37.0862,0.337589896,0.8475,3.7463,0.170787519,81.3864,1.003375053
SPNE,34.8738,0.158235294,-0.2602,-0.2677,-0.007486631,54.3662,0.879025239
WTTR,20.2478,0.203241206,0.5421,0.458,0.058542714,56.0239,1.016149068
SRE,30.046,0.069617103,-0.6314,-0.5623,-0.032506791,46.7808,1.024222955
SAMG,22.9637,0.21375945,0.9362,0.2661,0.057044674,65.052,1.003076923
SMLP,27.4404,0.07579,-0.561,-0.074,-0.0195,35.5984,1.009852217
TORM,22.8251,0.093098782,0.0404,-0.0545,0.015426252,47.7483,0.792207792
TWIN,13.0447,0.095185384,0.6262,0.3211,0.049328318,62.3779,1.167276529
UMH,33.6924,0.107858521,-0.2595,-0.1675,-0.037813505,44.5909,0.960997442
HCC,44.2106,0.231879508,-0.8203,-0.2858,-0.054645736,39.294,1.082262743
WTM,16.6896,0.045815869,-0.3652,-3.0976,-0.019430572,46.7138,1.033433526
YELP,44.0994,0.024023095,0.2116,0.5343,-0.021709007,75.8816,1.053113144
ATSG,36.521,0.12590797,0.4247,0.4788,0.033073131,59.7088,1.000820345
APPF,74.4636,0.144992701,0.8293,1.8494,0.048592284,92.8755,0.953013279
RILY,24.6966,0.057947214,0.3939,0.0715,0.001173021,52.0161,0.959885387
BSM,34.4178,0.048004614,0.0798,0.1222,0.012572088,58.428,1.04027618
CVCO,45.3874,0.130115893,0.7665,3.2685,0.054625551,74.4917,1.050983006
CDEV,30.7158,0.108013356,0.1889,0.5484,0.071229827,58.9828,1.062057703
CRT,28.4349,0.03139726,0.34,-0.0157,0.004821918,38.4436,1.014844595
DCP,23.7961,0.125715935,0.5309,0.6175,0.054445727,56.7601,0.956933678
EVH,38.7701,0.093303371,0.2985,-0.502,-0.019662921,35.9871,0.881648936
GDP,23.8344,0.166158599,0.6889,-0.0734,0.046755922,39.0126,1.030927835
IIVI,33.7185,0.176758202,0.8759,1.1701,0.052490887,71.4257,1.100591716
INSE,26.5419,0.210324528,0.7091,0.5483,0.045283019,64.464,0.833928571
IBOC,14.7672,0.18798005,0.5556,1.1328,0.084538653,67.18,0.997569866
LGND,31.0405,0.082674991,0.6051,2.013,-0.009357326,73.9816,1.061906848
MDCA,18.779,0.203309091,0.425,0.2038,0.113636364,64.9623,1.067264574
MTW,44.4525,0.191533333,0.558,0.3141,0.083777778,76.6615,1.058177827
MGI,24.0787,0.059416511,0.1783,-0.0189,-0.029422719,50.551,0.975308642
OCIP,30.1953,0.057875,0.2308,-0.1346,-0.03125,34.3913,0.88125
ONDK,14.7356,0.047408994,-0.28,0.0003,-0.006423983,53.753,1.044117647
PFSW,16.001,0.15108982,0.3504,0.0785,0.033293413,61.1226,0.9625
PAA,44.3056,0.044143464,-0.3519,-0.0878,-0.027465786,33.7259,0.93411215
RPD,21.8581,0.070090909,0.5496,0.1809,-0.003295455,58.5519,1.020179372
SWX,14.94,0.065586189,-0.5349,-0.457,-0.025483123,44.3861,1.059493347
SNHY,58.4984,0.161477778,0.8313,1.9096,0.054518519,85.8644,1.054278416
TTEC,26.4033,0.109365269,0.3333,0.338,0.058682635,63.2501,0.989399293
TPC,16.0057,0.119225352,0.5526,0.6441,0.073591549,58.0888,0.996551724
USDP,47.5284,0.252309091,-0.1458,0.0469,0.064545455,45.9772,1.018181818
UFAB,56.4965,0.20052071,0.7752,0.0398,0.064852071,46.7524,1.003508772
VRAY,15.6803,0.152951389,0.3846,-0.0299,-0.108333333,49.4352,1.14214876
AES,17.6011,0.040508167,-0.1333,-0.025,-0.015789474,44.1719,0.959785523
AKBA,55.4129,0.215302491,0.7991,0.7836,0.063446873,82.6267,0.903209877
AP,26.4585,0.181218391,0.5522,0.8619,0.054022989,66.9408,0.936986301
BRG,36.893,0.10641953,0.8875,-0.0776,0.019349005,44.0761,1.029676259
CJ,32.4697,0.229322656,0.7541,0.7482,0.071805138,47.8986,0.972855228
CSWC,28.0054,0.067659078,0.2793,0.084,0.034325744,62.3634,0.999427918
CQH,19.0501,0.057719298,-0.1053,-0.2721,0.002232855,46.2293,0.999602228
CQP,32.3351,0.087362942,0.4516,-0.1583,0.022553782,46.5395,0.979847116
XEC,28.6657,0.18959444,0.7649,3.9481,0.086619161,66.3044,1.010929432
CHRS,19.2296,0.191520599,-0.4035,-0.0223,0.053932584,41.7018,0.850909091
CUTR,69.7431,0.101823458,0.678,1.6361,0.031197098,86.6004,0.918793503
