Symbol,ADX,BBands,BOP,MACD,MOM,RSI,Gain
HAIN,20.8302,0.090592121,0.3023,0.6258,0.030903515,58.4344,0.902364786
IAG,20.6666,0.207066895,0.3925,0.0804,0.093310463,54.1344,0.964955175
IIN,57.7299,0.212222222,0.4206,1.1993,0.091414141,86.6033,0.975550122
KREF,17.1695,0.066406797,-0.2846,-0.0489,-0.029985007,38.718,0.980079681
KERX,33.7963,0.079827957,-0.2593,-0.149,0.000860215,31.3039,0.971639676
LGIH,68.4101,0.089478875,0.3452,2.7581,0.04990004,94.5305,0.909767229
LXP,20.6956,0.128,-0.8195,-0.1772,-0.037720207,32.248,0.930927835
CLI,52.8073,0.05512987,-0.5593,-0.1742,0.007235622,26.8848,0.923639689
MTDR,33.2594,0.211236749,0.4527,0.8809,0.116864761,67.6744,1.027069562
MYE,25.3595,0.149251282,-0.6964,-0.3668,0.004102564,45.876,1.077114428
NKTR,57.9185,0.161496986,0.4579,4.4162,0.072069658,93.5641,1.414809851
OCIP,34.7459,0.162086957,0.5714,0.2235,0.059627329,58.8765,1.056882727
OTEL,66.9963,0.1,0.6875,0.4356,0.017763296,78.3426,1.053191489
PRCP,45.3674,0.09971134,-0.6821,0.0239,0.005257732,65.5365,1.081704545
PICO,42.9574,0.079421875,-0.3077,-0.6222,-0.0015625,29.9618,1.02734375
PNK,67.9027,0.102652001,0.5962,1.1163,0.049618087,94.0752,0.993932039
PTGX,35.6362,0.149596154,0.3334,0.6984,0.103365385,69.1923,1.065498155
RSPP,29.3267,0.172615536,0.6128,1.1649,0.089233038,68.6175,0.978881689
REN,26.9049,0.25423578,0.1876,0.4758,0.129583731,54.2563,1.061490683
RTRX,20.3857,0.072804936,-0.6183,-0.0483,0.025533935,41.3232,1.100044464
SBOW,26.8857,0.332059219,0.964,1.0881,0.120323015,76.4894,1.021421121
SWX,21.4984,0.116689861,-0.7556,-0.4653,-0.010437376,49.0381,0.907321879
SYNL,19.2905,0.090537313,0.2473,-0.0008,0.030598507,57.1521,1.00952381
TRHC,39.8563,0.329212121,-0.8042,-0.4928,0.020677362,53.2208,1.244492655
TTWO,46.4225,0.056166879,-0.087,-0.5667,0.009364183,60.6406,1.13000796
TSRO,38.6582,0.090314951,-0.1653,-3.0379,-0.009967419,28.3341,0.845679012
TRUE,46.3992,0.127553571,-0.6849,-0.3502,-0.013392857,29.2198,1.044386423
USAC,12.1697,0.034244256,-0.6342,-0.0056,-0.008101572,50.5832,1.095624264
SLCA,23.7267,0.067051597,-0.183,-0.0942,-0.033845209,50.6009,0.991339492
VG,58.4366,0.052507375,0.0438,0.2449,0.022025565,73.2833,1.107632094
WLK,81.2201,0.114076786,0.7265,3.3058,0.047010232,94.5065,1.045187901
WLKP,27.8582,0.141466934,0.8529,0.4205,0.029659319,67.7515,0.954635108
XOMA,89.6511,0.171876404,0.454,2.0483,0.076853933,78.0675,0.929978296
GOLF,29.322,0.105322581,0.6184,0.5786,0.058349146,73.9832,1.012705882
AKBA,25.7231,0.110800269,-0.4464,-0.1711,-0.006052455,42.2013,1.022696929
ALRM,37.5201,0.084307285,-0.5703,-1.3061,0.008423841,38.2493,1.014191853
AMID,17.1249,0.128314607,0.7027,0.1718,0.019475655,52.0395,1.091240876
ANDV,44.0726,0.116648592,0.6071,2.0293,0.036592619,74.4078,0.938120307
ANDX,20.5684,0.071933319,0.2316,0.2648,-0.008270188,45.8923,1.095158248
BWINB,27.2747,0.04125261,-0.2174,0.1371,0.02045929,62.453,0.972803347
BCEI,21.0904,0.186698079,-0.0985,-0.0835,0.023921711,44.089,0.972149148
BR,61.6192,0.021452859,0.1087,0.7859,0.01561051,83.47,1.061184211
CCLP,18.1683,0.109872029,0.5469,-0.0158,0.00749543,54.0931,1.135253054
CABO,27.6361,0.052905666,0.3027,3.934,0.024963389,50.312,1.001330402
TCS,27.6063,0.3707173,-0.6169,-0.0109,-0.100843882,46.709,0.974459725
CAPL,37.1309,0.063570526,-0.2178,-0.3064,-0.000842105,34.4247,1.003720546
CUTR,65.4859,0.161614112,0.3991,1.4694,-0.005292172,68.4844,1.111948332
EGRX,15.0688,0.165593411,-0.5606,-0.642,-0.068588544,37.8651,1.064709921
